invoice_id,invoice_date,vendor_id,vendor_name,currency,line_item_number,item_code,description,quantity,unit_price,line_total,po_id,po_quantity,po_unit_price,po_line_total,grn_id,grn_quantity,mismatch_type,is_mismatch
INV0006,25-03-2024,V013,Vendor_13,USD,1,ITM0025,Accessory part component device device,18,332.63,5987.34,PO0006,18,332.63,5987.34,GRN0006,18,MATCH,0
INV0006,25-03-2024,V013,Vendor_13,USD,2,ITM0032,Gadget gadget widget device,2,375.25,750.5,PO0006,2,375.25,750.5,GRN0006,2,MATCH,0
INV0006,25-03-2024,V013,Vendor_13,USD,3,ITM0004,Unit assembly part,6,33.16,198.96,PO0006,6,33.16,198.96,GRN0006,6,MATCH,0
INV0006,25-03-2024,V013,Vendor_13,USD,4,ITM0033,Part widget widget,8,204.87,1638.96,PO0006,8,204.87,1638.96,GRN0006,8,MATCH,0
INV0006,25-03-2024,V013,Vendor_13,USD,5,ITM0037,Unit widget widget unit,19,263.78,5011.82,PO0006,19,263.78,5011.82,GRN0006,19,MATCH,0
INV0007,13-05-2024,V007,Vendor_7,GBP,1,ITM0016,Module device component component device,3,9.61,28.83,PO0007,3,9.61,28.83,GRN0007,3,item_not_in_po,1
INV0007,13-05-2024,V007,Vendor_7,GBP,2,ITM0040,Accessory widget gadget component accessory part part,12,146.07,1752.84,PO0007,12,146.07,1752.84,GRN0007,12,MATCH,0
INV0007,13-05-2024,V007,Vendor_7,GBP,3,ITM0029,Device unit accessory unit widget part component,4,469.77,1879.08,PO0007,4,469.77,1879.08,GRN0007,4,MATCH,0
INV0007,13-05-2024,V007,Vendor_7,GBP,4,ITM0009,Gadget widget assembly component unit,11,105.78,1163.58,PO0007,11,105.78,1163.58,GRN0007,11,MATCH,0
INV0007,13-05-2024,V007,Vendor_7,GBP,5,ITM0041,Assembly component accessory widget unit,9,26.82,241.38,PO0007,9,26.82,241.38,GRN0007,9,MATCH,0
INV0008,19-06-2024,V005,Vendor_5,GBP,1,ITM0011,Assembly module widget widget part accessory,18,22.83,410.94,PO0008,18,22.83,410.94,GRN0008,18,MATCH,0
INV0008,19-06-2024,V005,Vendor_5,GBP,2,ITM0024,Assembly module widget module accessory accessory widget,12,108.99,1307.88,PO0008,12,108.99,1307.88,GRN0008,12,MATCH,0
INV0008,19-06-2024,V005,Vendor_5,GBP,3,ITM0016,Module unit part,20,375.99,7519.8,PO0008,20,375.99,7519.8,GRN0008,20,MATCH,0
INV0008,19-06-2024,V005,Vendor_5,GBP,4,ITM0016,Accessory part part widget,11,392.28,4315.08,PO0008,11,392.28,4315.08,GRN0008,11,MATCH,0
INV0008,19-06-2024,V005,Vendor_5,GBP,5,ITM0027,Component part widget part,16,115.1,1841.6,PO0008,16,115.1,1841.6,GRN0008,16,MATCH,0
INV0009,23-08-2024,V012,Vendor_12,EUR,1,ITM0015,Widget gadget component part,9,178.82,1609.38,PO0009,9,178.82,1609.38,GRN0009,9,currency_mismatch,1
INV0009,23-08-2024,V012,Vendor_12,GBP,2,ITM0033,Device part component widget part component,19,481.45,9147.55,PO0009,19,481.45,9147.55,GRN0009,19,MATCH,0
INV0009,23-08-2024,V012,Vendor_12,GBP,3,ITM0017,Widget module device,11,221.01,2431.11,PO0009,11,221.01,2431.11,GRN0009,11,MATCH,0
INV0009,23-08-2024,V012,Vendor_12,GBP,4,ITM0033,Module unit component,14,5.84,81.76,PO0009,14,5.84,81.76,GRN0009,14,MATCH,0
INV0009,23-08-2024,V012,Vendor_12,GBP,5,ITM0035,Module widget unit component,11,333.38,3667.18,PO0009,11,333.38,3667.18,GRN0009,11,MATCH,0
INV0010,04-03-2024,V010,Vendor_10,GBP,1,ITM0043,Component device assembly gadget unit module,6,309.68,1858.08,PO0010,6,309.68,1858.08,GRN0010,6,MATCH,0
INV0010,04-03-2024,V010,Vendor_10,GBP,2,ITM0020,Assembly widget component module unit unit,15,223.68,3355.2,PO0010,15,223.68,3355.2,GRN0010,15,MATCH,0
INV0010,04-03-2024,V010,Vendor_10,GBP,3,ITM0044,Assembly part accessory device,3,145.47,436.41,PO0010,3,145.47,436.41,GRN0010,3,MATCH,0
INV0010,04-03-2024,V010,Vendor_10,USD,4,ITM0043,Module part device device component gadget widget,8,492.05,3936.4,PO0010,8,492.05,3936.4,GRN0010,8,currency_mismatch,1
INV0010,04-03-2024,V010,Vendor_10,GBP,5,ITM0040,Assembly part unit,13,249.72,3246.36,PO0010,13,249.72,3246.36,GRN0010,13,MATCH,0
INV0011,04-05-2024,V005,Vendor_5,USD,1,ITM0049,Part gadget part,14,234.95,3994.15,PO0011,17,234.95,3994.15,GRN0011,17,quantity_mismatch,1
INV0011,04-05-2024,V005,Vendor_5,USD,2,ITM0036,Accessory gadget gadget assembly,17,494.01,8398.17,PO0011,17,494.01,8398.17,GRN0011,17,MATCH,0
INV0011,04-05-2024,V005,Vendor_5,USD,3,ITM0039,Accessory accessory unit device assembly,18,225.73,4063.14,PO0011,18,225.73,4063.14,GRN0011,18,MATCH,0
INV0011,04-05-2024,V005,Vendor_5,USD,4,ITM0011,Assembly device part component device assembly,8,140.93,1127.44,PO0011,8,140.93,1127.44,GRN0011,8,MATCH,0
INV0011,04-05-2024,V005,Vendor_5,USD,5,ITM0005,Component module accessory widget gadget,13,348.51,4530.63,PO0011,13,348.51,4530.63,GRN0011,13,MATCH,0
INV0012,27-12-2024,V007,Vendor_7,USD,1,ITM0027,Component assembly widget part module device,1,429.08,429.08,PO0012,1,429.08,429.08,GRN0012,1,MATCH,0
INV0012_DUP,27-12-2024,V007,Vendor_7,USD,2,ITM0049,Module widget module device part accessory module,18,400.93,7216.74,PO0012,18,400.93,7216.74,GRN0012,18,duplicate_invoice,1
INV0012,27-12-2024,V007,Vendor_7,USD,3,ITM0015,Gadget module widget module device module,6,421.05,2526.3,PO0012,6,421.05,2526.3,GRN0012,6,MATCH,0
INV0012,27-12-2024,V007,Vendor_7,USD,4,ITM0009,Assembly accessory unit unit widget module part,6,29.89,179.34,PO0012,6,29.89,179.34,GRN0012,6,MATCH,0
INV0012,27-12-2024,V007,Vendor_7,USD,5,ITM0025,Gadget component device module device,12,129.87,1818.18,PO0012,14,129.87,1818.18,GRN0012,14,quantity_mismatch,1
INV0013,11-02-2024,V016,Vendor_16,USD,1,ITM0048,Widget accessory component widget accessory widget widget,8,103.68,829.44,PO0013,8,103.68,829.44,GRN0013,8,MATCH,0
INV0013,11-02-2024,V016,Vendor_16,USD,2,ITM0002,Gadget gadget device unit gadget device device,6,304.92,1829.52,PO0013,6,304.92,1829.52,GRN0013,6,MATCH,0
INV0013,11-02-2024,V016,Vendor_16,USD,3,ITM0048,Part gadget component,19,17.71,336.49,PO0013,19,17.71,336.49,GRN0013,19,MATCH,0
INV0013,11-02-2024,V016,Vendor_16,USD,4,ITM0020,Device accessory module device widget device unit,4,350.11,1400.44,PO0013,4,350.11,1400.44,GRN0013,4,MATCH,0
INV0013,11-02-2024,V016,Vendor_16,USD,5,ITM0020,Part part unit widget assembly unit widget,11,11.26,123.86,PO0013,11,11.26,123.86,GRN0013,11,MATCH,0
INV0014,03-08-2024,V016,Vendor_16,USD,1,ITM0028,Unit part device module device,9,309.88,2788.92,PO0014,9,309.88,2788.92,GRN0014,9,MATCH,0
INV0014,03-08-2024,V016,Vendor_16,USD,2,ITM0035,Assembly part unit component component accessory,9,441.41,3972.69,PO0014,9,441.41,3972.69,GRN0014,9,MATCH,0
INV0014,03-08-2024,V016,Vendor_16,USD,3,ITM0016,Unit device module assembly component assembly,12,399.93,4799.16,PO0014,12,399.93,4799.16,GRN0014,12,MATCH,0
INV0014,03-08-2024,V016,Vendor_16,USD,4,ITM0022,Part device component widget accessory,3,124.47,373.41,PO0014,3,124.47,373.41,GRN0014,3,MATCH,0
INV0014,03-08-2024,V016,Vendor_16,USD,5,ITM0027,Assembly component assembly device assembly widget,10,114.69,1146.9,PO0014,10,114.69,1146.9,GRN0014,10,MATCH,0
INV0015,20-12-2024,V008,Vendor_8,GBP,1,ITM0043,Module assembly module accessory assembly module assembly,10,129.44,1294.4,PO0015,10,129.44,1294.4,GRN0015,10,MATCH,0
INV0015,20-12-2024,V008,Vendor_8,GBP,2,ITM0008,Component device accessory device,7,112.11,784.77,PO0015,7,112.11,784.77,GRN0015,7,MATCH,0
INV0015,20-12-2024,V008,Vendor_8,GBP,3,ITM0031,Device accessory assembly component widget,7,151.64,1061.48,PO0015,7,151.64,1061.48,GRN0015,7,MATCH,0
INV0015,20-12-2024,V008,Vendor_8,GBP,4,ITM0024,Component device gadget widget,1,278.91,557.82,PO0015,2,278.91,557.82,GRN0015,2,quantity_mismatch,1
INV0015,20-12-2024,V008,Vendor_8,GBP,5,ITM0045,Unit device widget widget,10,237.35,2373.5,PO0015,10,237.35,2373.5,GRN0015,10,MATCH,0
INV0016,13-08-2024,V011,Vendor_11,EUR,1,ITM0004,Accessory assembly part module widget,2,80.1,160.2,PO0016,2,80.1,160.2,GRN0016,2,MATCH,0
INV0016,13-08-2024,V011,Vendor_11,EUR,2,ITM0037,Widget component unit module unit,20,116.72,2334.4,PO0016,20,116.72,2334.4,GRN0016,20,MATCH,0
INV0016,13-08-2024,V011,Vendor_11,EUR,3,ITM0034,Assembly module part accessory component unit,20,480.25,9605.0,PO0016,20,480.25,9605.0,GRN0016,20,MATCH,0
INV0016,13-08-2024,V011,Vendor_11,EUR,4,ITM0007,Unit component widget component,18,42.16,758.88,PO0016,18,42.16,758.88,GRN0016,0,grn_not_received,1
INV0016,13-08-2024,V011,Vendor_11,GBP,5,ITM0001,Assembly unit component component device device,15,40.23,603.45,PO0016,15,40.23,603.45,GRN0016,15,currency_mismatch,1
INV0017,29-04-2024,V009,Vendor_9,EUR,1,ITM0028,Assembly unit accessory,5,40.35,201.75,PO0017,5,40.35,201.75,GRN0017,5,MATCH,0
INV0017_DUP,29-04-2024,V009,Vendor_9,EUR,2,ITM0011,Unit part accessory module assembly,10,351.37,3513.7,PO0017,10,351.37,3513.7,GRN0017,10,duplicate_invoice,1
INV0017,29-04-2024,V009,Vendor_9,EUR,3,ITM0018,Assembly module unit accessory device unit widget,8,481.15,3849.2,PO0017,8,481.15,3849.2,GRN0017,8,MATCH,0
INV0017,29-04-2024,V009,Vendor_9,EUR,4,ITM0037,Accessory accessory device component widget device assembly,15,458.46,6876.9,PO0017,15,458.46,6876.9,GRN0017,15,MATCH,0
INV0017,29-04-2024,V009,Vendor_9,EUR,5,ITM0012,Module part accessory assembly module component widget,6,168.25,1009.5,PO0017,6,168.25,1009.5,GRN0017,6,MATCH,0
INV0018,21-12-2024,V016,Vendor_16,GBP,1,ITM0043,Part assembly assembly component component accessory,13,499.88,5630.69,PO0018,13,433.13,5630.69,GRN0018,13,price_mismatch,1
INV0018,21-12-2024,V016,Vendor_16,GBP,2,ITM0001,Assembly widget assembly unit assembly module widget,9,276.86,2491.74,PO0018,9,276.86,2491.74,GRN0018,9,MATCH,0
INV0018,21-12-2024,V016,Vendor_16,GBP,3,ITM0019,Part assembly widget unit part device,10,277.67,2776.7,PO0018,10,277.67,2776.7,GRN0018,10,MATCH,0
INV0018,21-12-2024,V016,Vendor_16,GBP,4,ITM0036,Widget accessory accessory assembly gadget part,16,466.66,7466.56,PO0018,16,466.66,7466.56,GRN0018,16,MATCH,0
INV0018,21-12-2024,V016,Vendor_16,GBP,5,ITM0019,Device module assembly assembly assembly gadget gadget,20,256.58,5131.6,PO0018,20,256.58,5131.6,GRN0018,20,MATCH,0
INV0019,10-03-2024,V003,Vendor_3,GBP,1,ITM0050,Module part component widget device part,21,499.46,9489.74,PO0019,19,499.46,9489.74,GRN0019,19,quantity_mismatch,1
INV0019,10-03-2024,V003,Vendor_3,GBP,2,ITM0032,Assembly assembly component device,13,230.4,2995.2,PO0019,13,230.4,2995.2,GRN0019,13,MATCH,0
INV0019,10-03-2024,V003,Vendor_3,GBP,3,ITM0021,Accessory component module part,14,26.61,372.54,PO0019,14,26.61,372.54,GRN0019,14,MATCH,0
INV0019,10-03-2024,V003,Vendor_3,GBP,4,ITM0048,Device part module unit part accessory,16,482.59,7721.44,PO0019,16,482.59,7721.44,GRN0019,16,MATCH,0
INV0019,10-03-2024,V003,Vendor_3,GBP,5,ITM0009,Accessory component widget part widget accessory widget,5,224.6,1039.7,PO0019,5,207.94,1039.7,GRN0019,5,price_mismatch,1
INV0020,01-12-2024,V005,Vendor_5,USD,1,ITM0031,Module device unit part part,18,193.1,3475.8,PO0020,18,193.1,3475.8,GRN0020,18,MATCH,0
INV0020,01-12-2024,V005,Vendor_5,USD,2,ITM0021,Part widget widget unit accessory accessory,3,219.82,659.46,PO0020,3,219.82,659.46,GRN0020,3,MATCH,0
INV0020,01-12-2024,V005,Vendor_5,USD,3,ITM0007,Module device accessory,2,165.57,331.14,PO0020,2,165.57,331.14,GRN0020,2,MATCH,0
INV0020,01-12-2024,V005,Vendor_5,USD,4,ITM0004,Module module component module device,6,89.14,534.84,PO0020,6,89.14,534.84,GRN0020,6,MATCH,0
INV0020,01-12-2024,V005,Vendor_5,USD,5,ITM0006,Part unit component accessory gadget assembly component,9,335.09,3015.81,PO0020,9,335.09,3015.81,GRN0020,9,MATCH,0
INV0021,26-08-2024,V010,Vendor_10,EUR,1,ITM0005,Accessory accessory component accessory device assembly,10,103.61,1036.1,PO0021,10,103.61,1036.1,GRN0021,10,MATCH,0
INV0021,26-08-2024,V010,Vendor_10,EUR,2,ITM0025,Widget module module component device widget,13,140.87,1831.31,PO0021,13,140.87,1831.31,GRN0021,13,MATCH,0
INV0021,26-08-2024,V010,Vendor_10,EUR,3,ITM0037,Accessory device part,10,388.99,3889.9,PO0021,10,388.99,3889.9,GRN0021,0,grn_not_received,1
INV0021,26-08-2024,V010,Vendor_10,INR,4,ITM0015,Part gadget gadget component device device device,5,315.98,1579.9,PO0021,5,315.98,1579.9,GRN0021,5,currency_mismatch,1
INV0021_DUP,26-08-2024,V010,Vendor_10,EUR,5,ITM0041,Component module unit,5,49.62,248.1,PO0021,5,49.62,248.1,GRN0021,5,duplicate_invoice,1
INV0022,31-05-2024,V011,Vendor_11,INR,1,ITM0012,Gadget assembly accessory assembly,9,416.08,3744.72,PO0022,9,416.08,3744.72,GRN0022,9,MATCH,0
INV0022,31-05-2024,V011,Vendor_11,INR,2,ITM0017,Accessory component part part assembly widget,8,430.77,3446.16,PO0022,8,430.77,3446.16,GRN0022,8,MATCH,0
INV0022,31-05-2024,V011,Vendor_11,INR,3,ITM0047,Accessory part module part widget assembly,15,187.45,2811.75,PO0022,15,187.45,2811.75,GRN0022,15,MATCH,0
INV0022,31-05-2024,V011,Vendor_11,INR,4,ITM0048,Unit part accessory widget component,1,311.68,311.68,PO0022,1,311.68,311.68,GRN0022,1,MATCH,0
INV0022,31-05-2024,V011,Vendor_11,INR,5,ITM0036,Accessory gadget widget part accessory,10,326.37,3263.7,PO0022,10,326.37,3263.7,GRN0022,10,MATCH,0
INV0023,29-02-2024,V005,Vendor_5,USD,1,ITM0003,Accessory gadget component assembly module,12,336.89,4042.68,PO0023,12,336.89,4042.68,GRN0023,12,MATCH,0
INV0023,29-02-2024,V005,Vendor_5,USD,2,ITM0048,Module device gadget module widget assembly module,9,21.19,190.71,PO0023,9,21.19,190.71,GRN0023,9,MATCH,0
INV0023,29-02-2024,V005,Vendor_5,USD,3,ITM0024,Module accessory part widget,12,274.51,3294.12,PO0023,12,274.51,3294.12,GRN0023,12,MATCH,0
INV0023,29-02-2024,V005,Vendor_5,USD,4,ITM0042,Widget component accessory accessory part,3,333.07,999.21,PO0023,3,333.07,999.21,GRN0023,3,MATCH,0
INV0023,29-02-2024,V005,Vendor_5,USD,5,ITM0042,Accessory widget module accessory part gadget part,18,107.54,1935.72,PO0023,18,107.54,1935.72,GRN0023,18,MATCH,0
INV0024,20-04-2024,V008,Vendor_8,GBP,1,ITM0050,Part unit component accessory,5,272.41,1362.05,PO0024,5,272.41,1362.05,GRN0024,5,MATCH,0
INV0024,20-04-2024,V008,Vendor_8,GBP,2,ITM0012,Unit widget widget,8,296.48,2371.84,PO0024,8,296.48,2371.84,GRN0024,8,item_not_in_po,1
INV0024_DUP,20-04-2024,V008,Vendor_8,GBP,3,ITM0002,Component gadget module gadget,3,240.74,722.22,PO0024,3,240.74,722.22,GRN0024,3,duplicate_invoice,1
INV0024,20-04-2024,V008,Vendor_8,GBP,4,ITM0050,Assembly widget assembly accessory widget,17,154.31,2623.27,PO0024,17,154.31,2623.27,GRN0024,17,MATCH,0
INV0024,20-04-2024,V008,Vendor_8,INR,5,ITM0042,Widget assembly module,4,247.68,990.72,PO0024,4,247.68,990.72,GRN0024,4,currency_mismatch,1
INV0025,15-08-2024,V003,Vendor_3,EUR,1,ITM0021,Gadget gadget unit unit device module unit,10,229.59,2295.9,PO0025,10,229.59,2295.9,GRN0025,10,currency_mismatch,1
INV0025,15-08-2024,V003,Vendor_3,USD,2,ITM0039,Widget device part unit device device,7,217.88,1525.16,PO0025,7,217.88,1525.16,GRN0025,7,MATCH,0
INV0025,15-08-2024,V003,Vendor_3,USD,3,ITM0015,Module assembly module widget module unit,12,477.03,5724.36,PO0025,12,477.03,5724.36,GRN0025,12,MATCH,0
INV0025,15-08-2024,V003,Vendor_3,USD,4,ITM0044,Widget part widget widget device part,18,34.69,624.42,PO0025,18,34.69,624.42,GRN0025,18,MATCH,0
INV0025,15-08-2024,V003,Vendor_3,USD,5,ITM0036,Component gadget module unit device part device,10,336.14,3022.0,PO0025,10,302.2,3022.0,GRN0025,10,price_mismatch,1
INV0026,29-06-2024,V004,Vendor_4,EUR,1,ITM0010,Component widget part module device unit,14,423.35,5926.9,PO0026,14,423.35,5926.9,GRN0026,14,MATCH,0
INV0026,29-06-2024,V004,Vendor_4,EUR,2,ITM0050,Unit unit widget accessory part component gadget,10,461.16,4611.6,PO0026,10,461.16,4611.6,GRN0026,10,MATCH,0
INV0026_DUP,29-06-2024,V004,Vendor_4,EUR,3,ITM0023,Gadget gadget unit,3,75.23,225.69,PO0026,3,75.23,225.69,GRN0026,3,duplicate_invoice,1
INV0026,29-06-2024,V004,Vendor_4,EUR,4,ITM0041,Widget assembly module,15,173.74,2606.1,PO0026,15,173.74,2606.1,GRN0026,15,MATCH,0
INV0026,29-06-2024,V004,Vendor_4,EUR,5,ITM0024,Device device unit widget widget,6,378.45,2270.7,PO0026,6,378.45,2270.7,GRN0026,6,MATCH,0
INV0027,26-01-2024,V003,Vendor_3,GBP,1,ITM0029,Assembly module component device gadget module,10,340.72,3407.2,PO0027,10,340.72,3407.2,GRN0027,10,MATCH,0
INV0027,26-01-2024,V003,Vendor_3,GBP,2,ITM0038,Assembly component gadget accessory widget gadget,7,455.13,2693.88,PO0027,7,384.84,2693.88,GRN0027,7,price_mismatch,1
INV0027,26-01-2024,V003,Vendor_3,GBP,3,ITM0049,Component gadget assembly module gadget,18,353.32,6359.76,PO0027,18,353.32,6359.76,GRN0027,18,MATCH,0
INV0027,26-01-2024,V003,Vendor_3,GBP,4,ITM0033,Part part widget part widget widget accessory,11,290.0,3190.0,PO0027,11,290.0,3190.0,GRN0027,11,MATCH,0
INV0027,26-01-2024,V003,Vendor_3,GBP,5,ITM0037,Device module gadget widget component part,20,232.75,4655.0,PO0027,20,232.75,4655.0,GRN0027,20,MATCH,0
INV0028,19-12-2024,V012,Vendor_12,USD,1,ITM0028,Component unit assembly,13,435.91,5666.83,PO0028,13,435.91,5666.83,GRN0028,13,MATCH,0
INV0028,19-12-2024,V012,Vendor_12,USD,2,ITM0048,Gadget part widget unit assembly,7,453.43,3174.01,PO0028,7,453.43,3174.01,GRN0028,7,MATCH,0
INV0028,19-12-2024,V012,Vendor_12,USD,3,ITM0023,Device part part component gadget,7,90.88,636.16,PO0028,7,90.88,636.16,GRN0028,7,MATCH,0
INV0028,19-12-2024,V012,Vendor_12,USD,4,ITM0010,Gadget device assembly,19,381.14,7241.66,PO0028,19,381.14,7241.66,GRN0028,19,MATCH,0
INV0028,19-12-2024,V012,Vendor_12,USD,5,ITM0029,Unit accessory component accessory component module assembly,10,399.18,3991.8,PO0028,10,399.18,3991.8,GRN0028,10,item_not_in_po,1
INV0029,29-10-2024,V002,Vendor_2,GBP,1,ITM0033,Component assembly widget,10,49.94,429.8,PO0029,10,42.98,429.8,GRN0029,10,price_mismatch,1
INV0029,29-10-2024,V002,Vendor_2,GBP,2,ITM0006,Unit module unit accessory device widget accessory,19,327.66,6225.54,PO0029,19,327.66,6225.54,GRN0029,19,MATCH,0
INV0029,29-10-2024,V002,Vendor_2,GBP,3,ITM0021,Assembly gadget widget widget accessory module device,17,324.83,5522.11,PO0029,17,324.83,5522.11,GRN0029,17,item_not_in_po,1
INV0029,29-10-2024,V002,Vendor_2,GBP,4,ITM0003,Device accessory assembly unit,12,209.88,2274.72,PO0029,12,189.56,2274.72,GRN0029,12,price_mismatch,1
INV0029,29-10-2024,V002,Vendor_2,GBP,5,ITM0019,Module module unit part unit widget,4,281.19,1124.76,PO0029,4,281.19,1124.76,GRN0029,4,MATCH,0
INV0030,16-07-2024,V010,Vendor_10,GBP,1,ITM0047,Part module unit gadget module accessory device,13,68.83,894.79,PO0030,13,68.83,894.79,GRN0030,13,MATCH,0
INV0030,16-07-2024,V010,Vendor_10,GBP,2,ITM0046,Component module part,5,336.71,1683.55,PO0030,5,336.71,1683.55,GRN0030,5,MATCH,0
INV0030,16-07-2024,V010,Vendor_10,GBP,3,ITM0048,Widget device assembly widget component accessory module,16,100.04,1600.64,PO0030,16,100.04,1600.64,GRN0030,16,MATCH,0
INV0030,16-07-2024,V010,Vendor_10,GBP,4,ITM0009,Widget part widget device,17,26.49,402.73,PO0030,17,23.69,402.73,GRN0030,17,price_mismatch,1
INV0030,16-07-2024,V010,Vendor_10,GBP,5,ITM0022,Gadget module gadget part device part gadget,15,28.99,399.45,PO0030,15,26.63,399.45,GRN0030,15,price_mismatch,1
INV0031,05-07-2024,V008,Vendor_8,USD,1,ITM0040,Device part component component accessory,16,452.47,7239.52,PO0031,16,452.47,7239.52,GRN0031,16,currency_mismatch,1
INV0031,05-07-2024,V008,Vendor_8,INR,2,ITM0013,Device unit module device part,17,266.09,4523.53,PO0031,17,266.09,4523.53,GRN0031,17,MATCH,0
INV0031,05-07-2024,V008,Vendor_8,INR,3,ITM0011,Part gadget component unit,12,279.5,3354.0,PO0031,12,279.5,3354.0,GRN0031,12,MATCH,0
INV0031,05-07-2024,V008,Vendor_8,INR,4,ITM0007,Part component device component accessory gadget module,8,409.27,3274.16,PO0031,8,409.27,3274.16,GRN0031,8,MATCH,0
INV0031,05-07-2024,V008,Vendor_8,INR,5,ITM0023,Module module module,13,497.29,6464.77,PO0031,13,497.29,6464.77,GRN0031,13,item_not_in_po,1
INV0032,10-07-2024,V008,Vendor_8,USD,1,ITM0021,Part unit part,5,23.96,119.8,PO0032,5,23.96,119.8,GRN0032,5,MATCH,0
INV0032,10-07-2024,V008,Vendor_8,USD,2,ITM0031,Device assembly unit accessory,1,131.68,131.68,PO0032,1,131.68,131.68,GRN0032,1,MATCH,0
INV0032,10-07-2024,V008,Vendor_8,USD,3,ITM0010,Accessory unit module device component gadget component,20,231.27,4625.4,PO0032,20,231.27,4625.4,GRN0032,20,MATCH,0
